channel_id,public_name,genre,views,estimatedMinutesWatched,subscribersGained,comments,likes,dislikes,total_subscribers,views_subs,likes_dislikes
UC1tTNrhhmueBLmaSIH10Z4A,All The Young,rock,19271.0,40398.0,55.0,14.0,129.0,5.0,1120,350.3818181818182,25.8
UCnULPlEo9YWkhGR9kWaQYww,Doobie Brothers,rock,0.0,0.0,0.0,0.0,0.0,0.0,969,0.0,0.0
UCk4R6XW6Wcl3TQFLlvr28Yw,Allielofficiel,pop,1805310.0,4250882.0,2445.0,149.0,7079.0,715.0,14200,738.3680981595093,9.900699300699301
UCJnw4bTwCbEyw8Q_VDHIgqg,TeaVirallinen,pop,907341.0,1897068.0,923.0,0.0,1896.0,847.0,7760,983.0346695557963,2.2384887839433296
UC7N12swobgpECWEjhi4zm0w,thecabriolets,rock,2173.0,3870.0,13.0,2.0,49.0,0.0,314,167.15384615384616,0.0
UCpwZ4mD9ZI-6-I6zb32n6eA,Dominique A,rock,100693.0,212790.0,238.0,45.0,767.0,28.0,1180,423.0798319327731,27.392857142857142
UCKb-QotIdnfF9Lgm6sG3CbQ,brandyandrayjmusic,urban,1699.0,3514.0,4.0,0.0,19.0,0.0,91,424.75,0.0
UC6DEW8WJAz1T-qESPDfooRQ,Marc Seguí,pop,185887454.0,741131749.0,300181.0,24019.0,1731743.0,47993.0,339000,619.2512317568401,36.083241306023794
UCwld2avTZl_nxG2zOz0_Ihw,JJ Shiplett,country,63014.0,169827.0,248.0,30.0,629.0,66.0,1830,254.08870967741936,9.530303030303031
UCmlj__nBD3bd_ypnRNVu2gw,superreyesoficial,pop,2441851.0,6389954.0,4525.0,231.0,17366.0,491.0,21200,539.6355801104972,35.36863543788187
UCJePQ8lQi2HKNfnvwMmXhmQ,Highly Contrasting,dance,,,,,,,0,0.0,0.0
