channel_id,views,estimatedMinutesWatched,subscribersGained,comments,likes,dislikes
UCw7r-Mlc2hBm16k5Sw6rDUQ,107566,252965,193,12,587,26
UCjX-A-sYXjfpQnx0zlACsRQ,77692,242999,433,19,658,65
UCScqhaGYlX98xPN7kwXtDkw,68450,141828,558,23,713,18
UCQ2UiNpRtGtT3lBGc6mW36Q,68316,143165,7460,18,500,37
UCkEbimXpxJ1E-q8VcV9S3tw,55787,107591,1758,7,646,22
UCYoYzoVWJGImZdL1ctdPlHg,40003,64749,535,13,386,9
UCFKyVAVtPSJymdix_938kUQ,37366,108786,362,28,580,42
UCabu6ZGMTWDsYiTg2yOo3uA,37125,87180,950,25,680,44
UCmZF52VN_BTyPeZXGJAy4TQ,37068,88404,141,18,347,19
UCPMprzST1CU3Y16lsyDeyzQ,32095,121400,177,33,418,10
UCGa5NF8eodXO2wFYxDMDybg,21840,63205,261,94,708,6
UCFvA-BA1RCkRAoqED6iTfQA,15475,48458,84,5,62,1
UCMFxFeLXsjGPlS8toc2E2Lg,4462,3254,30,1,29,2
UCnHYKgU2bwSMt4reSitcjWQ,1127,1170,2256,2,43,0
UC6ISn5wC5Zt_rgzsCX81wVw,668,1236,6,0,16,1
UCeXZ2XJVOPka_GiaFUdOLvA,368,498,26,0,7,0
UCUNj6X343VRMSvsMlFJBhWw,261,439,1,2,1,0
UCPIfsVyVsdL_8pa_nurKypg,205,202,4,0,0,0
UCOnQA6eEYbZciI33OX4sY9Q,0,0,1,0,0,0
UCr8NEWXyE_ZT_rdaRhYJFAA,0,0,2,0,0,0
UCs97Psn1u1lJcLW2OP9OyrA,131653958,283412022,339660,22651,1297644,33894
UCFj6i28BalvuUldLDbr6UWw,43204070,102755369,314062,47750,1170090,16846
UC34wpCgr3l9cG0RtFdTTS-Q,38138087,149267771,162014,40885,873155,13366
UC0TobZSDyMaXaoVK_9TcPHA,33118230,77090733,55547,7360,346196,11635
UCLL49Ren_KdYn21dCE7NRng,22434242,57994293,26231,7011,312792,7668
UCmajVHWDyvlGsNVZ9lT3q0Q,15635736,41859269,7709,1109,29102,2929
UCjIyFu2nFGZlpfF-LbBkZpg,7896564,19983015,222,649,47952,1238
UCoWPcbkqIWosJZk6Netpibg,5275211,7985620,13345,931,55524,2733
UCdsgBD7n7tyBQTqpZssohiQ,4139941,10553521,61,792,25158,949
UCj8sFiFmI7qCQzJWgUSwj-Q,2611959,6500304,44755,464,20735,607
UC1PqLslajCKhn8--O5RR5_w,1471730,3374372,1510,246,12449,242
UCWkBRcIJIJY4WxB3sW3Y6nA,1259313,2669989,2820,420,15602,408
UCbKSnxLmORz0kUdILw6On1g,1162519,2139687,10355,1431,20325,215
UC7jb7qY6Q-5Dk0_on5dfONg,816093,3253883,1688,212,8952,362
UCilN_FtjmaACskVQ8ySElJA,698116,1631053,3515,284,6232,157
UCQnrxwwa0iXFal_NxfzwkXg,442962,1096215,252,112,733,20
UCYLa9q1huuWRP97-uZ6xV_w,429980,848506,1088,261,3954,98
UC2bskCJnzDwoxyEbRXj4oBg,196880,390273,1012,262,3980,65
UCkza4xuP29vsusl14aGGXVA,128287,339694,2704,166,967,98
UCVVzbw3BNaAOxbCIIQqRj5w,118593,298030,583,0,1674,45
UCffTBYhHLSeIVOrR6ZihRzg,86883,111348,117,30,685,33
UCIASqTLwiN5N9RY2f68DNPQ,84755,215450,220,17,623,28
UCfLw-yks4g136XG3QKT1UTw,65570,149864,492,160,1318,23
UCai9Fo2Uj8qV6Sp97sE-DkQ,51020,81312,15,61,833,30
UCdV4K0Yzdg5Uv1T8YgXBDoA,43844,112743,73,12,357,16
UC8X8LkEuz6b-KaX-VxpXQAQ,32150,69558,132,21,341,7
UC1eAVVv2tf6i8bnrhkXuU2Q,25864,69819,69,7,145,11
UCR8rX9t3X9C-BwknWXR239g,24421,37101,927,25,518,13
UC1R2bdOjUbZiUawf5b_LVHg,17655,35123,22,2,113,40
UC2bX23CInJ_BxPVQclwPFBg,10884,20431,20,5,66,7
UCvOYoFzpDzvWUqlpzR1AL2Q,9535,20214,40,4,59,7
UCP5XBwxXHHD0vBoWp5WTO5A,9272,9017,63,17,183,9
UCUQjnttodxhUN-TE2MvkhEw,8697,16366,54,6,102,6
UCGESXaNIWbo7mJQ3PlzoL_A,8354,18791,76,11,107,1
UC_FhqjUyjKr-3s01TtonEsw,7658,16588,54,5,96,2
UCwV26LFHrKA8-CmKOhc3ojQ,7111,13574,7,4,45,14
UCJfhiib6i5tVWVwEla-2K6w,6971,8888,112,25,110,6
UCSIx9lyXYVzSNFX5afgJabg,4494,9373,15,2,42,2
UC1HmBB2jzfVPAsEXDra4eoQ,3311,8252,34,0,71,0
UCGAhdgBimAyKGJMBFK4NEfg,2776,4602,14,1,15,5
UCu3u8VDrmOTlTfeAMF9PLcA,2727,5999,17,4,28,1
UCR4sr6yHN_lgs5ZJt3XRJkA,2685,4611,8,0,41,0
UCHxXS6EkA7wpKRr98E2dhhA,1130,1578,7,0,19,0
UCEXumjxRVILZcSup2uXjvCw,524,835,13,0,7,0
UCiVS01HGMikZd0zAxcRveww,333,358,8,1,6,0
UCd1NmZhNCrMoncLFLbHKucg,249,369,2,1,3,0
UCSDxDFY5HnZAQsE5D9ZsFzg,0,0,0,0,0,0
UCoOzY0feZINyEk5Nw2-VLwg,0,0,23186,0,0,0
UCtUdfHiWA1s29AfIRTyhlug,0,0,6,0,0,0
UCDPM_n1atn2ijUwHd0NNRQw,1684617504,5505759151,4907647,1346663,33281629,436208
UCWEtnEiVwUy7mwFeshyAWLA,1234729679,3792987035,1029892,251870,9822091,438794
UCFYMDSW-BzeYZKFSxROw3Rg,346486113,765081941,1168824,236234,6567420,133545
UCtWBCzqucZXq0M8jsqunM0g,239594855,530637034,1092892,88105,4451921,47965
UC9nxc-xiH1AnL9RGstfgurg,178246458,492071530,343265,38970,1386311,60180
UCAb60rVrvVQVfSgrX1UWb0g,116793294,345145119,411466,23806,813325,26797
UCDEW2psJxrMGqvjv-xTSspQ,44382709,106795713,77581,13157,566745,19247
UCWVBfvVTf3UrPA-z5gos60w,42528771,72087894,81210,6938,457242,18151
UCeekxg1vju_sjIK9KjJJLYg,15901919,33943931,191233,15412,377613,18018
UCYgJ2M1mq8Ae0QOm_VQU4VQ,13063972,37117957,241456,12341,283406,7039
UCWGGQw_iJ7F-7Jz6LrfdDRA,12312013,45952693,18679,2949,70963,4210
UCGsPswmbpeuwn3owrqqbhJw,10586092,28499015,20610,4636,151585,4191
UCW6dDNgf_2FAJOJ3RhasrIA,8111901,14228444,40661,5492,208691,2491
UCM10srINLaSQFrcDVmHV0gA,4628474,12254279,45798,1456,41994,915
UC8htQT3V-GdUTPFAKD4Avyw,3858409,12284549,4392,266,10777,666
UC8SP4fqoPpG5MHIHvvK72mg,3544018,10715741,3790,374,14385,1009
UCKiTrdzRJHPcB1-0iTrbwkA,3269816,5772627,19424,1327,63065,1120
UCJF0MASWYKOcY1DXsxA63yg,2425073,7816484,3017,249,13199,572
UC4a55_esP82yRhlzUrAKRtA,1767299,4695391,2527,1020,11267,513
UCrQIYwlh7PTqBedJsS5UvMQ,1619177,3643222,3343,519,10899,544
UCXR82zHJ6FuWccQQqxtNHyw,1033447,3268763,4830,877,18503,359
UCpW8-XI3sVjLe9ADwoh8qiQ,878103,2244978,1722,158,4382,347
UCPqAhEF-PJ248gTaJBm9mPw,581953,1195175,983,105,4930,127
UCTNkw5W1AgwzGAVNHx733vA,470253,1085936,492,103,4206,124
UC2H0ZAFcaGkvgup1b2rr8Qg,410299,913432,399,35,1684,166
UCe9GZ71MOPEs9b3I0fJYZgA,265466,612122,1735,237,4044,113
