channel_id,public_name,genre
UCtoUQvukM3Vqqjk3pORmH5w,Pardison Fontaine,urban
UCnHYKgU2bwSMt4reSitcjWQ,TheFallOfTroy,metal
UCabu6ZGMTWDsYiTg2yOo3uA,EveryAvenue,rock
UCQ2UiNpRtGtT3lBGc6mW36Q,raphaelmusicofficiel,rock
UCPIfsVyVsdL_8pa_nurKypg,Marcin Rozynek,pop
UCXgSpd4h26yxronX0O4mXIg,Pastora Soler Catálogo,pop
UC7cdEBfqSfIH62arlTi0GEQ,Ohana Bam,urban
UCjX-A-sYXjfpQnx0zlACsRQ,State Radio,latin
UCScqhaGYlX98xPN7kwXtDkw,Shado Chris,urban
UCUNj6X343VRMSvsMlFJBhWw,DrFeelgoodofficial,rock
UC1PqLslajCKhn8--O5RR5_w,Goya,pop
UC_FhqjUyjKr-3s01TtonEsw,D.C.W.東城衞channel,rock
UCP5XBwxXHHD0vBoWp5WTO5A,Sophia Abino,pop
UCjIyFu2nFGZlpfF-LbBkZpg,Kojo Funds,urban
UCGESXaNIWbo7mJQ3PlzoL_A,Vita and the Woolf,pop
UCu3u8VDrmOTlTfeAMF9PLcA,burningofromemusic,rock
UCFj6i28BalvuUldLDbr6UWw,Leon Leiden,urban
UCj8sFiFmI7qCQzJWgUSwj-Q,Duncan Dhu,latin
UC8X8LkEuz6b-KaX-VxpXQAQ,Valient Thorr,metal
UCkza4xuP29vsusl14aGGXVA,WantingsMusic,pop
UCffTBYhHLSeIVOrR6ZihRzg,teamlovevids,rock
UC1eAVVv2tf6i8bnrhkXuU2Q,OCN,rock
UCUQjnttodxhUN-TE2MvkhEw,Pecker,pop
UCoOzY0feZINyEk5Nw2-VLwg,The Hollies,pop
UC7jb7qY6Q-5Dk0_on5dfONg,Icarus,dance
UCd1NmZhNCrMoncLFLbHKucg,Venus II,rock
UCv0k03065eZlMDR5oqgPnnQ,Kiko Rivera Oficial,pop
UCmajVHWDyvlGsNVZ9lT3q0Q,Kim Larsen,pop
UCIASqTLwiN5N9RY2f68DNPQ,Burning,metal
UC2bX23CInJ_BxPVQclwPFBg,MoMo,pop
UC0TobZSDyMaXaoVK_9TcPHA,Portugal. The Man,rock
UCR8rX9t3X9C-BwknWXR239g,downtownfiction,rock
UCQnrxwwa0iXFal_NxfzwkXg,Orson Wilds,rock
UCJfhiib6i5tVWVwEla-2K6w,Amir Hasan,pop
UCiVS01HGMikZd0zAxcRveww,Sara Marín,pop
UCYLa9q1huuWRP97-uZ6xV_w,Orry Jackson,pop
UC34wpCgr3l9cG0RtFdTTS-Q,Gojira,metal
UCilN_FtjmaACskVQ8ySElJA,ป๋อมแป๋ม ณิชาภัทร,pop
UCtUdfHiWA1s29AfIRTyhlug,Akhenaton,urban
UCvOYoFzpDzvWUqlpzR1AL2Q,soniamiki,pop
UC1HmBB2jzfVPAsEXDra4eoQ,Lesser Key,rock
UCWkBRcIJIJY4WxB3sW3Y6nA,Phil The Beat,pop
UCoWPcbkqIWosJZk6Netpibg,Yazoo / Yaz - Official,pop
UCEXumjxRVILZcSup2uXjvCw,Marcelo,pop
UCSDxDFY5HnZAQsE5D9ZsFzg,MoMo,pop
UCbKSnxLmORz0kUdILw6On1g,Marcell,pop
UCfLw-yks4g136XG3QKT1UTw,Andreas Moe,rock
UCdsgBD7n7tyBQTqpZssohiQ,MPokora,pop
UCVVzbw3BNaAOxbCIIQqRj5w,scarson45,rock
UCHxXS6EkA7wpKRr98E2dhhA,rikersmusic,rock
UCR4sr6yHN_lgs5ZJt3XRJkA,santogoldvideos,dance
UCSIx9lyXYVzSNFX5afgJabg,Herman Dune,rock
UCLL49Ren_KdYn21dCE7NRng,rychlí kluci,urban
UCGAhdgBimAyKGJMBFK4NEfg,Weston Burt,country
UC2bskCJnzDwoxyEbRXj4oBg,Boni Rocanrol,rock
UCwV26LFHrKA8-CmKOhc3ojQ,Bad Geckos,pop
UCai9Fo2Uj8qV6Sp97sE-DkQ,GeriHalliwellUK,pop
UC1R2bdOjUbZiUawf5b_LVHg,deanalexandermusic,country
UCdV4K0Yzdg5Uv1T8YgXBDoA,LinaKaro,pop
UCs97Psn1u1lJcLW2OP9OyrA,GIULIA BE.,pop
UCMpXThMkTIBu0Fpn8SXv4VA,SIKR,dance
UC8SP4fqoPpG5MHIHvvK72mg,VOXELofficial,urban
UCrQIYwlh7PTqBedJsS5UvMQ,morganevanstv,country
UCAeSmHGp5sf_4SyWb087Tow,Garaje Jack,rock
UC5yzXxPSZF511qvAQRG_I7A,Rolf Fjordvik,pop
UC8htQT3V-GdUTPFAKD4Avyw,Tereza Mašková Official ,pop
UCPqAhEF-PJ248gTaJBm9mPw,SLEEPWALKRS,dance
UClXta6rWNKUztBhBC9WLQGg,Nevo Angel,urban
UCDPM_n1atn2ijUwHd0NNRQw,Coldplay,rock
UCtYCWZHChPLekVxvWTuJ9gw,Riot V,metal
UCM10srINLaSQFrcDVmHV0gA,him,dance
UCGsPswmbpeuwn3owrqqbhJw,NervousRecordsNYC,urban
UC4nstdiM_MVHCvC1mYHE3Ew,taladpluontv,pop
UCJF0MASWYKOcY1DXsxA63yg,Medial Banana,pop
UCujKAgn-LnkF6gEEuOJdHHA,Gérard Manset Officiel,rock
UCeekxg1vju_sjIK9KjJJLYg,Papa Roach,rock
UClADD1Q5gb6oF1veGjEO77g,ADÉLA - official,pop
UC_7YZ0EBzDcXPNhC482NPNA,xxofMontrealxx,pop
UCCb-gNJVJlW3MUZU2N97KZw,planetph3,urban
UCWEtnEiVwUy7mwFeshyAWLA,RHINO,rock
UCe9GZ71MOPEs9b3I0fJYZgA,Madi Diaz,rock
UC2H0ZAFcaGkvgup1b2rr8Qg,Innertier,pop
UChVT3DCVgE-3aiAqbxYV1Ug,Fair Weather Friends,dance
UCOne-ZzghFhq3JDDmxMsNkw,jegerdaviddieu,urban
UC7lv9XTLLa3HCBmRTt0Gvnw,Dubstar,pop
UCEmEVtPXopGzzVrpmhCXqbg,Home-Sick,dance
UCme4_N86ALmx6zv4S1w3VHQ,sivilstatus,country
UCm_8DflK-Vl3a3n-gd_75uA,Ciro,urban
UC-AjTAjvp7J-_QQJSENeZcw,makeshiftprodigy,rock
UCKiTrdzRJHPcB1-0iTrbwkA,JAY1,urban
UCp-TO3d-bVBUXNw741Jpoag,Orē,urban
UCAb60rVrvVQVfSgrX1UWb0g,Fleetwood Mac,rock
UCWGGQw_iJ7F-7Jz6LrfdDRA,華星唱片 Capital Artists Official Channel,pop
UCW6dDNgf_2FAJOJ3RhasrIA,XavierWulf,urban
UC9eQx8uWm7R0WdndR6p5kQw,fritjof pikanen,urban
UCFYMDSW-BzeYZKFSxROw3Rg,The Living Tombstone,pop
UClAZyJT7MW3YGNyMftTto4w,Company Records,rock
UCYgJ2M1mq8Ae0QOm_VQU4VQ,The Doors,rock
UCQGihSx8kao0Xix08koIllQ,Georgi Kay,rock
UCc1ovgQn_hZFB-TypFOb8lg,Tarque Oficial,rock
UCpW8-XI3sVjLe9ADwoh8qiQ,Hyphen Hyphen,pop
UCDEW2psJxrMGqvjv-xTSspQ,Pokáčovo Kanál,pop
UC9nxc-xiH1AnL9RGstfgurg,Blake Shelton,country
UCXNtLQbLzr31-xARWCw3Vvg,VicentePalma,pop
UCtWBCzqucZXq0M8jsqunM0g,Alec Benjamin,pop
UC4a55_esP82yRhlzUrAKRtA,3JS,pop
UCoudsgL2L53Xs3tevwoWW4Q,Dwight Dissels,pop
UCTNkw5W1AgwzGAVNHx733vA,kuningasideayhtye,pop
UCWVBfvVTf3UrPA-z5gos60w,HUGEL,dance
UCXR82zHJ6FuWccQQqxtNHyw,TAYLA PARX,urban
UCmZzJZSp20EIolDL-EfnD6w,The Washboard Union,country
UCwXoqCy4Gf15M2j3wz4_uzQ,Adia Victoria,country
UCMJbPdetcLmF7euzH4uLCRQ,Honey Money Gang,pop
UCmfGbS-YboR4e67CIZhhKTA,Tony Banks,rock
UCk8rU9JZFxqMpAkOPP0Wu_g,Deadcultdiaries,rock
UCSGn8AjyJIBhpaSMRjR7ebw,thepinkertones,dance
UCQEIfqE3MnOyN9SCS8cHRWA,Sourceetc1,pop
UCn9W4PujTNjq4C_vlOgpyow,PetShopBoysParlophone,pop
UCFzupDSjmyNF_8kjh8aO6ow,Syd Barrett,rock
UC2XjCWiLxI7UCc1PPaQHNTA,manwithoutwax,rock
UCGY1ywgZ1FvUEVUc6zTZmkA,mastodonthehunter,metal
UCA1IwyTJWR3Gp0Tvz4jCp3A,XXANAXX,rock
UCv5emLGrYcQAmbpeFVlzjdg,Warner Records Vault,rock
UCYwDm_-HHq-cq3YKvpeX7Pg,Nobrvnd,urban
UCwiU5L-YUj7AWVAmWHx0K-A,Clouseau,pop
UCNQa79970Y0E8UhMFK0T2SQ,MarÃ­a Isabel,pop
UCED3LKZLWAy193swHjcgDUQ,DeadBySunriseTV,rock
UC5YACGHw-FJ_1IXme9Z-vlg,Benni Sparks,dance
UC9wvnHwKWvE_unCTf1eLKHw,Johnny Hallyday Officiel,rock
UCgiqxI1Dm8FpX0jW29cj-8Q,Tommy,urban
UC24QDGhcpEeKTtEDYSXflMg,Kylie Minogue,pop
UCJrcscyNYXfspnMi6KscZSA,Marie Fredriksson,pop
UC2j95Yd08yQibgMcPXYl8VA,Carlos Vara,pop
UC-htj9-fqxZVtlD5VVmgmTw,ChanWingHim陳詠謙,pop
UCaf9TjqrkYQnd3h15n582IQ,Shoneyin,urban
UCePWSQHSdXqzQlzyJfwY1Jg,Vũ Official ,pop
UCQieqLwBvXxgv9IKxDeW9zg,thomstonmusic,pop
UCpmhYu92ybB3sP8agrxR6QA,BLANKTS,pop
UCHsSqqj7NDH9I5_6TQiJ6vw,GNR,rock
UCftIqqhrClqSk3MxxZeBx7A,CheriDennisTV,urban
UCoppuO27dFlOOjfYg2cq1Ng,SidneyPolak,pop
UCjaGoLLtbFLH8Nl10lydhlQ,Alvarez Kings,rock
UCiVbVqViW1L0UAjXTZJMgwQ,Khushi,rock
UCrNEfoYeQEf-WxZpsFIpcLA,Frankie Morland,pop
UCa69AU7FrlpkuYbJSRAKA_w,TocoParaVos,pop
UCzJGJYhHgcNvBoB06DfFRIQ,MiriamBryant,pop
UCWWZivJmJJzJGdLI8KeZpjA,Bastard!,dance
UCo4OGlYPNpxPvImVmT_Xfzg,Mike Campbell,rock
UCrUlt5TwS6OUD8xpC36EBvw,We Are Kids United,pop
UCW2D8YiBtwhNslRFKTr9Axw,H O N N E,dance
UCCmXcYtA4T9wxc3vmbGFxRA,MCDAVO,urban
UCp6p4QMnrhszX8rhzgy_q2Q,かまってチャンネル【公式】 ,pop
UCueIHzorkCaR8-302Q_Gfqw,Malia Civetz,pop
UC-Ux9bjrAtuMMvZbbtqK19w,Bassam officiel,dance
UClQeDT2awEJb7Hu2PLsPvzg,TegoCalderonOficial,latin
UCkWBtWWMANvzQI2Lcsnukiw,thejanedeargirls,country
UCNFOCainfQUP0PE2O--j2LQ,PliesWorld,urban
UC_paE0Wq6dXxanGGtgHkiFQ,Melindo Records,pop
UCULf4XCNKB918Nzn46Cm_vA,Katarzyna Pietras,pop
UCScwzf7hG0FnN8ZFzmOjLxg,ChristinaParie,pop
UCApPFD2lkTNTHhQJsqpp3xg,Jacob Plant,dance
UCVOdT_BwuAbGsC0YjQwOoYg,rrtfb,country
UC4ZFn6TUncwPA0UI819Q3JA,saintmotelvideo,pop
UC11VbLKq0ojQ2N-B2Q5m4mA,La Naranja Blossom,rock
UCs1qD5IhqZGh8JUfJMc3Fwg,The Hmmms,pop
