channel_id,total_subscribers
UCvOYoFzpDzvWUqlpzR1AL2Q,663
UCGAhdgBimAyKGJMBFK4NEfg,1150
UCLL49Ren_KdYn21dCE7NRng,103000
UC7jb7qY6Q-5Dk0_on5dfONg,16700
UCIASqTLwiN5N9RY2f68DNPQ,1590
UC2bX23CInJ_BxPVQclwPFBg,806
UCVVzbw3BNaAOxbCIIQqRj5w,8530
UC_FhqjUyjKr-3s01TtonEsw,1890
UCv0k03065eZlMDR5oqgPnnQ,17
UCai9Fo2Uj8qV6Sp97sE-DkQ,3360
UCdV4K0Yzdg5Uv1T8YgXBDoA,2550
UCffTBYhHLSeIVOrR6ZihRzg,2450
UCQnrxwwa0iXFal_NxfzwkXg,329
UCoWPcbkqIWosJZk6Netpibg,32600
UCbKSnxLmORz0kUdILw6On1g,33200
UCJfhiib6i5tVWVwEla-2K6w,3850
UCSIx9lyXYVzSNFX5afgJabg,70
UC34wpCgr3l9cG0RtFdTTS-Q,521000
UCtUdfHiWA1s29AfIRTyhlug,3060
UCEXumjxRVILZcSup2uXjvCw,1200
UCfLw-yks4g136XG3QKT1UTw,8490
UCdsgBD7n7tyBQTqpZssohiQ,152000
UCu3u8VDrmOTlTfeAMF9PLcA,414
UCFj6i28BalvuUldLDbr6UWw,978000
UCUQjnttodxhUN-TE2MvkhEw,913
UCwV26LFHrKA8-CmKOhc3ojQ,343
UCGESXaNIWbo7mJQ3PlzoL_A,620
UCR4sr6yHN_lgs5ZJt3XRJkA,242
UC0TobZSDyMaXaoVK_9TcPHA,709000
UCs97Psn1u1lJcLW2OP9OyrA,1750000
UCj8sFiFmI7qCQzJWgUSwj-Q,106000
UCR8rX9t3X9C-BwknWXR239g,24300
UCGsPswmbpeuwn3owrqqbhJw,128000
UClAZyJT7MW3YGNyMftTto4w,5040
UCoudsgL2L53Xs3tevwoWW4Q,3430
UCWVBfvVTf3UrPA-z5gos60w,512000
UCXR82zHJ6FuWccQQqxtNHyw,41100
UC4nstdiM_MVHCvC1mYHE3Ew,8670
UCMpXThMkTIBu0Fpn8SXv4VA,90
UC2H0ZAFcaGkvgup1b2rr8Qg,10400
UCDPM_n1atn2ijUwHd0NNRQw,22800000
UCXNtLQbLzr31-xARWCw3Vvg,11
UCrQIYwlh7PTqBedJsS5UvMQ,39700
UCe9GZ71MOPEs9b3I0fJYZgA,7720
UCWEtnEiVwUy7mwFeshyAWLA,5220000
UCYgJ2M1mq8Ae0QOm_VQU4VQ,751000
UCW6dDNgf_2FAJOJ3RhasrIA,226000
UCM10srINLaSQFrcDVmHV0gA,365000
UCJF0MASWYKOcY1DXsxA63yg,37100
UCujKAgn-LnkF6gEEuOJdHHA,576
UCc1ovgQn_hZFB-TypFOb8lg,5060
UCPqAhEF-PJ248gTaJBm9mPw,1970
UCKiTrdzRJHPcB1-0iTrbwkA,87900
UCpW8-XI3sVjLe9ADwoh8qiQ,49100
UCAeSmHGp5sf_4SyWb087Tow,53
UC-AjTAjvp7J-_QQJSENeZcw,350
UCtYCWZHChPLekVxvWTuJ9gw,2060
UCeekxg1vju_sjIK9KjJJLYg,1330000
UC_7YZ0EBzDcXPNhC482NPNA,13700
UClADD1Q5gb6oF1veGjEO77g,4490
UCp-TO3d-bVBUXNw741Jpoag,2560
UCAb60rVrvVQVfSgrX1UWb0g,1060000
UClXta6rWNKUztBhBC9WLQGg,3230
UCEmEVtPXopGzzVrpmhCXqbg,872
UC9eQx8uWm7R0WdndR6p5kQw,934
UCDEW2psJxrMGqvjv-xTSspQ,311000
UCTNkw5W1AgwzGAVNHx733vA,4040
UCWGGQw_iJ7F-7Jz6LrfdDRA,27000
UCQGihSx8kao0Xix08koIllQ,7510
UC8htQT3V-GdUTPFAKD4Avyw,39100
UCOne-ZzghFhq3JDDmxMsNkw,316
UC9nxc-xiH1AnL9RGstfgurg,2950000
UCtWBCzqucZXq0M8jsqunM0g,4340000
UCCb-gNJVJlW3MUZU2N97KZw,134
UC7lv9XTLLa3HCBmRTt0Gvnw,1430
UChVT3DCVgE-3aiAqbxYV1Ug,564
UC8SP4fqoPpG5MHIHvvK72mg,72400
UC5yzXxPSZF511qvAQRG_I7A,3
UCFYMDSW-BzeYZKFSxROw3Rg,5720000
UC4a55_esP82yRhlzUrAKRtA,12100
UCme4_N86ALmx6zv4S1w3VHQ,8
UCm_8DflK-Vl3a3n-gd_75uA,0
UCueIHzorkCaR8-302Q_Gfqw,7740
UCQieqLwBvXxgv9IKxDeW9zg,7250
UCftIqqhrClqSk3MxxZeBx7A,768
UCkWBtWWMANvzQI2Lcsnukiw,32500
UCwiU5L-YUj7AWVAmWHx0K-A,8260
UC-htj9-fqxZVtlD5VVmgmTw,4520
UCJrcscyNYXfspnMi6KscZSA,563
UCFzupDSjmyNF_8kjh8aO6ow,511
UCk8rU9JZFxqMpAkOPP0Wu_g,165
UCSGn8AjyJIBhpaSMRjR7ebw,1310
UCa69AU7FrlpkuYbJSRAKA_w,373000
UCNFOCainfQUP0PE2O--j2LQ,1350000
UCiVbVqViW1L0UAjXTZJMgwQ,3180
UCCmXcYtA4T9wxc3vmbGFxRA,6760000
UCScwzf7hG0FnN8ZFzmOjLxg,9660
UCoppuO27dFlOOjfYg2cq1Ng,1040
UC2j95Yd08yQibgMcPXYl8VA,7600
UCHsSqqj7NDH9I5_6TQiJ6vw,322
UCjaGoLLtbFLH8Nl10lydhlQ,3040
UCA1IwyTJWR3Gp0Tvz4jCp3A,35800
UCzJGJYhHgcNvBoB06DfFRIQ,1310
UCWWZivJmJJzJGdLI8KeZpjA,30500
UCMJbPdetcLmF7euzH4uLCRQ,20200
UCULf4XCNKB918Nzn46Cm_vA,470
UCmfGbS-YboR4e67CIZhhKTA,5870
UCQEIfqE3MnOyN9SCS8cHRWA,2710
UCED3LKZLWAy193swHjcgDUQ,40700
UCv5emLGrYcQAmbpeFVlzjdg,518000
UCmZzJZSp20EIolDL-EfnD6w,9080
UCo4OGlYPNpxPvImVmT_Xfzg,10400
UCW2D8YiBtwhNslRFKTr9Axw,981000
UC5YACGHw-FJ_1IXme9Z-vlg,0
UClQeDT2awEJb7Hu2PLsPvzg,79
UC2XjCWiLxI7UCc1PPaQHNTA,1640
UC9wvnHwKWvE_unCTf1eLKHw,718000
UCNQa79970Y0E8UhMFK0T2SQ,44700
UCn9W4PujTNjq4C_vlOgpyow,116000
UCrNEfoYeQEf-WxZpsFIpcLA,728
UCrUlt5TwS6OUD8xpC36EBvw,2640000
UCgiqxI1Dm8FpX0jW29cj-8Q,1460
UCGY1ywgZ1FvUEVUc6zTZmkA,466
UC24QDGhcpEeKTtEDYSXflMg,21500
UCYwDm_-HHq-cq3YKvpeX7Pg,8750
UC_paE0Wq6dXxanGGtgHkiFQ,4790
UCePWSQHSdXqzQlzyJfwY1Jg,968000
UCpmhYu92ybB3sP8agrxR6QA,611
UCwXoqCy4Gf15M2j3wz4_uzQ,5910
UCaf9TjqrkYQnd3h15n582IQ,2040
UCp6p4QMnrhszX8rhzgy_q2Q,275000
UC-Ux9bjrAtuMMvZbbtqK19w,443
UCNlisYk2pbTPSejFqEX0YrQ,8090
UCZ7xwOk5EoC7doN58MQTYsw,17900
UCs1qD5IhqZGh8JUfJMc3Fwg,45
UCqm2qGjvhw-smS9ONDEn7Fg,58900
UCA0_DhKu4732IFjKK4OFVbg,88
UC_fGK_FJk3vg8V5MVtFXmog,86
UCN5YtRZSu6NFeNKMSQDdMlQ,7500
UC3qvvxActLvR87qhM4fbg2Q,0
UCLMNBVf8so0SbjSeGjxLiOA,3670
UC51BZb8LNZW5Sp2ZBirudSg,1700
UCCXvgrT_uWTvmYwp47lX1mg,3500
UCVOdT_BwuAbGsC0YjQwOoYg,10900
UCygCLsD8jkys_WfVQdhS-KA,445
UCRg-hubwld8BEc8Afhn305w,2030
UCp6Rugkg2-yKf50HwtsXsUg,59200
UCEqpHhAN-jdhA6F1Lecd5wg,2770
UC4ZFn6TUncwPA0UI819Q3JA,236000
UCtgmOwlyJ0tqz5rrThkjUYg,1
UC3zY--b8e61Os7LA_vMN25A,12
UChA6VTqciHcYoZxo6R2ESnA,57100
UCiS6lByEku_8t8eynNFy-4g,15
UCxq8iLGcQHZPBB2AcWcVh9A,1820
UCXWiKXUu5jGMtcZG3tZYHcA,1870
UCF7GJjNPB2R_1yGTpIB45jg,672
UCUlYVio1_3uEiTKvhWoq2uQ,269
UC3GWgP_PHnsBgIOSsL-Pxqw,47400
UCoNhWLip9Q3NFCDCEtIOLKQ,691
UCbu8lQY-MwFNxXHq-q88cIA,1710
UCOQtOwoXZl76UrVN7pqNfHg,247
UCo2fxh7Y0qRdmcZ2qIZ_RTw,1020
UCBxIPQKReItXWeCqzLzkEGA,898000
UCBoTSoL-oglOocfmXEQv8pA,713
UC55F9Nbp6PdURfWobSARxVw,610
UC11VbLKq0ojQ2N-B2Q5m4mA,331
UCuJLOUiC0IOzoPqvYpf_Pag,1900
UCr0-gGexvhqXnfNnD1HJCmA,103
UCeuZSIikkhiagrFxPJcZ8Bw,43900
UCNSfONc2U1BfGV-gIF3ChcA,1350
UCu3XWT_2BMOI69unS2iIBkA,2980
UCh9l0j4KpQczQtNDrZlCJqA,218
UCIzqmACj6KMcuy0Q06OShcA,7310
UCIVROfF-b3Wjpk-G1-_ulFw,273000
UC6ZBO3cPNkToPCx5jaoFDzQ,33700
UCApPFD2lkTNTHhQJsqpp3xg,6610
UC8EgZ1xm4ZFGbt-I0_qlWSQ,6100
UC3PeG6n4MjmhXHjig9np3dA,3120
UCn4ZQ84q-eBbGRUg60At0SQ,663
UC_8nqHZ6PFmjyCpz46Weaxg,319
UCxiyzbjzA6IlV0ROt1GXsRg,130
UCNRYHxv-IKes0nthdfWYNhA,623
UCqurrJxBoBeBmcqRbIBwbJw,8800
UCFffQdR3wcB_lO5K2r2jphA,42500
UC4a3_El94ZJCYZ-QlTuGB7w,51
UCxpphCszc7JOd8yII2NY-_Q,216
UCaYT1AshD7DXrYngBfYjFLA,14900
UC2q3cOqytgIRDz7Rat8iM1w,5
UC1HcEUox5K31Zs7jdDcCfIw,253
UCTPGPRQWdzovgBgcOYIsyXw,127
UCyiF87k7RmDIa6BZQHlz97g,11200
UCi9UaJYgO-dc0aiiRWDAakA,391
UCpCaouuN4QSTqggIhTyB8KQ,16200
UCcKWrXwXLJJ2pcJeclFEjnw,0
UCZ3vZfgvGSw_RtxQHmq_l9w,2850
UC8gbK8uoqKhlACSeenUPkFQ,472000
UCEzDdNqNkT-7rSfSGSr1hWg,2430000
UCT3LN2SeSHEEWOGGeU_5vag,7010
UCNqqeUSpNXMTWsE0VNGIm2g,13000
UC9qDclpoGtztMnaTMM_a4CA,32500
UCm1s2VS9BdyXL9FU4a-W_cQ,2420000
UC2qqSvlpGXXk6Y6-vkaR-rg,1320
UCKjGFWtm8Z_ANK_ejXH0kuA,3620
UCa-xU6FTqf76tL6Iu7kOe7Q,97
UC_oP9EI_H0Fz5mborGXBAiQ,47800
UCt3XspKWeV4R_dGa-jWVdEg,602
UC1veizWI1JKS-OGkysw6v5A,181
UCuZ-3S-sYojFwsolvH3UisA,228
UCuTXXAzN-uOQpU9NA-E0kbw,350
UCsfv4IrL5Xm0bj9HCWiYKYQ,333
UCxm11rMvAIGSBTST_Lsxp-Q,13300
UClPB8yKfVZVk79Lv5GsQHPg,1150
UClc5Eis2-L2JCcN62jmD21w,5170000
UCdMRUaySf3cT27DDC6s2JKQ,1520000
UC8112rL9OPORK5ZstuHDrNg,339
UCIXJYY5zQusztPhXqnzlBHw,0
UCiyGKNCvFvWldieKA4dQ3zw,277
UCEGJixZ73Cw3Kjy5fWODD3A,4630
UCBGCbkljFbQHm_8w8HFWAKA,58200
UCoIhmmonW2dvhlfaHotzsew,6050
UCWoybbeuxa4Ig5pfWIu2Abw,541
UCLpOiHPOitascuyfxt7A-9A,883
UCGJ5iXR7Y-RvWLCzlVRgv8g,882
UCSaqZfWk95MtBuX1mV9hYQw,1430
UCJLD33K474ja0jSpuOzMjGA,331000
UCp73ffsOnfY0RZtD3q1HeEw,36800
UCOg9jPWX9820Ipd1e__nZeg,1340
UC4UQFLK99sYuG1b8oRd5BvQ,675000
UCzIbZKWAK8LzeG6JnsZbv5A,154000
UCYNECNTatn3pyhGOdCT-MvQ,3050
UCaP-W0X3rp3U1lMedCHybtQ,161000
UCWjbtqwzKQ0WOG_hKMncF3g,1360
UCEw-QL-G_SJhfaupB0WKMMw,29
UCvl3m1KCm3JCk9uYSvRcRLQ,85
UCZhj-UBDbvhXFEPUNXTb9-w,12700
UC6rZM25HJGKrylQlKrFYh9w,6940
UCho87itAnvA8VH-B39AvHdw,19400
UC_u6lT3KKqi-G6dxbUcpSEQ,7020
UCNeW8fX9JEyHvZBYI4WDQ3Q,5920
UCjEMe7t4p5YPXqqXRt6h7eA,548
UClxL3F6F_PAODV_Zkf8nYiQ,82
